DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
5/26/2008,WEST,420,585,598,417,409,299,262,314,336,428,427,413,351,464,495,488,351,246,181,161,108,75,82,134,
5/27/2008,WEST,179,203,244,317,411,571,577,550,614,568,519,558,514,480,538,657,617,619,598,614,582,575,497,510,
5/28/2008,WEST,486,421,378,355,357,293,293,263,248,301,300,249,189,155,128,109,83,52,34,32,28,27,60,168,
5/29/2008,WEST,154,133,114,94,89,120,139,141,94,28,21,12,27,56,69,88,61,60,55,89,237,309,403,399,
5/30/2008,WEST,403,459,546,580,585,555,529,445,386,360,421,425,360,436,404,370,452,235,237,170,114,131,202,283,
5/31/2008,WEST,315,347,306,411,427,460,538,508,463,373,365,424,465,516,574,579,552,502,458,341,237,179,172,214,
6/1/2008,WEST,198,165,169,117,88,93,82,57,60,90,112,111,106,90,120,154,243,113,75,73,67,63,57,64,
6/2/2008,WEST,58,60,64,66,62,66,70,43,26,17,10,11,15,26,31,50,50,55,66,69,140,180,174,132,
6/3/2008,WEST,163,150,132,222,288,355,417,293,213,244,153,229,183,463,334,160,101,123,67,84,128,230,226,287,
6/4/2008,WEST,309,224,120,267,225,263,261,161,140,213,221,188,135,238,259,222,119,100,121,264,291,219,305,384,
6/5/2008,WEST,361,369,352,443,533,560,554,556,558,581,601,635,615,593,586,570,571,528,513,530,506,482,471,542,
6/6/2008,WEST,660,677,703,696,700,703,686,646,628,656,612,571,540,552,545,521,526,550,548,564,553,501,437,375,
6/7/2008,WEST,350,313,309,266,227,224,279,272,330,214,232,321,425,426,471,566,545,604,573,548,497,483,465,471,
6/8/2008,WEST,416,450,483,471,508,512,475,418,474,631,665,648,658,562,460,424,424,491,541,549,525,518,511,471,
6/9/2008,WEST,394,353,287,209,208,264,357,399,315,260,263,408,264,176,236,271,172,134,98,66,37,56,110,97,
6/10/2008,WEST,144,282,397,261,83,203,198,168,187,165,211,332,342,303,280,287,286,325,269,231,160,151,190,303,
6/11/2008,WEST,418,483,462,451,450,425,358,274,225,273,412,529,545,494,393,278,248,302,347,440,505,610,637,546,
6/12/2008,WEST,567,614,621,609,585,504,498,439,448,387,422,430,471,474,493,524,558,587,594,566,534,478,528,662,
6/13/2008,WEST,649,553,492,518,399,96,119,182,202,266,471,430,425,462,442,321,298,300,232,236,107,72,117,152,
