DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
3/9/2008,RFC,224.62,279.598,0,362.485,379.799,391.51,435.227,458.806,464.497,429.472,352.058,348.502,367.235,400.33,310.797,275.882,274.588,270.283,255.038,242.674,264.914,262.832,269.752,239.242
3/10/2008,RFC,263.517,321.606,261.009,239.481,212.198,196.965,167.14,159.58,143.494,171.116,155.924,138.561,112.774,164.826,196.465,271.723,253.72,125.474,81.127,93.01,62.396,49.564,45.786,55.418
3/11/2008,RFC,56.738,69.933,81.758,76.679,67.519,95.049,167.972,307.074,400.796,411.116,326.316,407.589,450.255,506.747,577.182,609.193,628.629,652.215,564.908,522.463,576.275,610.466,579.688,556.223
3/12/2008,RFC,588.957,513.114,479.58,436.158,352.71,309.302,280.316,335.439,378.583,413.849,397.621,379.074,458.342,507.138,542.173,542.567,580.787,631.114,630.458,677.157,710.949,693.369,671.646,605.104
3/13/2008,RFC,570.542,609.575,619.434,581.267,600.462,596.397,606.019,626.979,596.374,507.891,357.19,242.114,252.54,210.872,251.588,322.467,408.09,423.81,331.142,278.628,319.989,229.307,208.691,230.9
3/14/2008,RFC,201.799,54.112,25.241,63.505,130.062,119.45,106.218,104.542,131.051,152.445,91.776,46.446,29.195,34.661,62.85,61.837,74.007,70.226,71.031,62.167,108.339,165.403,242.533,264.266
3/15/2008,RFC,292.453,368.264,301.166,368.826,414.26,446.983,424.272,386.097,335.4,268.166,251.472,253.591,290.575,285.225,218.029,199.409,218.491,207.248,185.921,155.951,122.139,123.837,106.982,93.185
3/16/2008,RFC,86.975,111.092,148.592,143.977,191.245,192.447,221.101,199.533,184.529,172.172,248.418,303.69,306.093,296.802,299.78,338.499,282.619,260.752,239.906,292.305,398.911,550.108,623.618,601.804
3/17/2008,RFC,569.295,424.08,312.358,311.539,412.191,462.229,485.946,519.671,544.233,569.485,583.816,548.539,605.517,608.187,528.415,497.873,515.984,584.815,583.293,509.795,554.41,612.091,615.704,593.424
3/18/2008,RFC,572.437,557.767,591.215,556.925,495.893,470.588,434.479,428.388,381.35,366.585,347.84,342.094,358.945,287.575,310.096,435.41,269.104,257.259,288.692,336.266,315.639,480.087,635.735,685.961
3/19/2008,RFC,607.594,610.227,616.756,570.192,510.635,540.372,703.597,721.218,687.849,641.172,580.643,558.631,629.291,706.223,661.834,702.905,726.273,714.078,696.191,640.512,545.132,611.723,712.99,794.55
3/20/2008,RFC,735.212,715.284,673.905,609.476,583.705,528.75,400.285,368.367,314.524,294.87,292.647,292.775,301.811,316.534,315.31,322.022,329.987,342.66,357.472,390.285,459.159,557.992,644.384,691.112
3/21/2008,RFC,713.647,752.976,796.364,867.371,879.571,886.808,897.535,900.165,883.069,886.532,873.821,812.181,703.686,611.594,578.813,627.065,626.724,545.532,449.651,256.392,347.022,469.692,430.906,420.81
3/22/2008,RFC,513.391,520.598,557.158,527.879,517.912,476.168,454.62,394.449,374.92,412.359,377.449,347.167,312.845,251.358,163.708,119.912,165.808,114.129,113.843,129.868,121.78,126.507,147.567,156.109
3/23/2008,RFC,165.996,110.259,105.148,89.106,79.723,73.714,58.114,70.335,62.627,36.148,39.226,61.313,51.012,65.677,114.812,143.012,174.581,143.411,157.809,145.128,115.886,129.639,83.369,97.692
3/24/2008,RFC,142.239,145.236,139.908,123.785,94.903,68.854,39.614,22.026,-0.046,-3.458,-0.047,7.141,11.396,40.996,105.192,155.378,199.898,261.163,283.212,331.04,465.514,628.604,672.239,665.602
3/25/2008,RFC,684.943,685.897,683.126,690.169,693.415,682.58,694.739,697.528,682.131,678.466,670.167,680.493,691.12,719.874,756.478,803.533,812.851,810.165,803.431,803.355,770.415,599.209,600.216,648.335
3/26/2008,RFC,590.35,532.345,518.08,333.56,307.517,310.663,345.345,295.263,289.543,245.429,234.265,245.413,262.499,252.211,238.845,232.463,214.016,191.662,157.986,108.271,87.19,105.433,143.758,176.44
3/27/2008,RFC,199.839,156.206,152.983,213.08,258.514,345.82,316.033,402.263,549.589,576.39,524.003,510.317,497.321,526.201,556.221,577.947,638.149,668.037,697.691,705.128,680.658,710.251,745.378,764.176
3/28/2008,RFC,767.104,770.194,725.161,686.093,700.192,651.321,594.06,480.246,466.66,415.819,334.046,332.055,291.305,345.682,315.486,356.532,354.428,338.774,304.337,292.949,315.192,365.456,405.484,419.391
3/29/2008,RFC,357.091,308.056,303.483,307.181,262.032,260.519,295.335,363.95,358.259,306.749,329.492,439.685,421.31,443.489,486.811,486.525,527.179,565.086,596.612,630.355,651.064,688.164,708.05,734.993
3/30/2008,RFC,698.897,680.73,607.072,601.014,583.097,605.999,488.189,466.992,431.143,364.443,290.664,241.823,235.631,220.407,214.409,226.834,279.086,460.649,357.004,338.359,324.403,363.498,420.083,482.404
3/31/2008,RFC,518.947,509.272,606.752,684.418,690.848,740.28,700.977,609.526,557.558,571.316,589.971,633.416,560.983,567.888,684.92,749.311,762.895,656.2,432.025,723.772,768.851,786.02,799.285,820.265
4/1/2008,RFC,863.578,868.443,858.626,864.179,842.418,798.612,808.823,767.067,777.867,810.826,840.995,875.036,846.832,839.274,842.906,781.132,671.809,571.286,494.997,402.771,348.743,338.082,334.817,318.717
4/2/2008,RFC,324.258,302.046,280.305,271.197,239.622,203.228,194.283,186.104,187.793,171.645,146.042,174.33,211.331,216.844,246.238,251.459,236.687,225.833,202.281,191.801,194.479,234.483,345.494,412.959
4/3/2008,RFC,473.363,506.943,618.239,612.571,503.207,469.687,463.105,471.077,433.702,370.295,268.413,277.507,323.965,393.476,394.38,390.056,434.557,556.735,607.901,566.648,513.583,461.076,617.201,708.539
4/4/2008,RFC,667.075,647.141,657.207,654.441,568.615,492.178,458.265,409.718,388.285,312.626,349.674,446.046,500.496,502.037,395.77,338.314,257.583,235.902,196.246,168.463,187.223,219.99,273.215,362.234
4/5/2008,RFC,387.208,386.814,451.379,509.824,458.143,451.074,414.201,401.111,325.216,234.998,137.857,143.664,165.779,132.799,124.798,133.826,139.925,128.678,126.922,133.263,192.612,244.111,362.699,532.245
4/6/2008,RFC,599.982,642.431,698.235,744.431,741.746,659.547,543.235,454.99,379.507,285.31,209.658,332.518,399.164,389.923,401.409,429.069,536.457,555.219,575.092,510.065,615.3,650.028,620.612,677.83
4/7/2008,RFC,665.259,674.09,596.148,559.343,551.004,540.336,640.765,589.698,516.153,494.647,479.173,452.071,464.324,486.616,534.294,601.523,566.057,459.839,378.937,312.533,301.916,217.582,178.201,247.152
4/8/2008,RFC,258.726,229.337,297.498,305.175,339.573,359.484,384.873,315.152,255.836,349.162,389.599,283.749,242.864,357.732,474.251,404.915,297.691,339.722,553.668,671.917,650.017,702.152,677.336,724.8
4/9/2008,RFC,758.516,807.064,803.986,734.572,614.17,504.932,471.147,424.293,329.113,242.378,101.666,60.958,53.418,63.412,53.706,43.772,49.248,72.785,72.646,61.828,210.408,342.926,274.483,415.76
4/10/2008,RFC,482.703,521.889,523.803,617.999,658.72,696.747,703.007,689.143,684.555,618.978,646.026,684.567,695.063,650.341,580.905,663.777,683.751,689.687,683.263,559.965,585.492,772.42,790.76,788.938
4/11/2008,RFC,726.148,627.939,620.559,654.109,697.656,726.565,730.44,733.47,720.183,717.381,733.361,768.141,740.058,757.456,715.848,731.957,710.307,702.049,730.767,811.375,804.315,790.253,809.031,843.77
4/12/2008,RFC,832.576,808.766,791.959,812.642,794.635,784.459,726.842,645.85,593.55,627.902,704.549,713.012,700.152,713.455,676.754,682.326,679.534,678.554,711.073,637.288,582.155,487.701,499.01,576.259
4/13/2008,RFC,530.622,496.849,492.427,451.505,491.447,461.417,499.942,433.573,425.551,455.692,463.871,439.541,374.431,381.968,405.101,433.783,342.268,417.811,392.055,356.799,211.188,253.346,186.676,148.561
4/14/2008,RFC,157.712,122.329,125.97,140.252,156.774,205.099,283.869,274.676,216.557,146.061,91.027,49.146,57.031,69.517,75.66,79.854,70.931,73.319,68.933,54.541,51.93,66.242,70.147,65.472
4/15/2008,RFC,76.255,101.932,132.118,148.038,173.06,162.108,179.254,228.139,263.943,204.39,318.294,517.854,576.48,590.304,609.21,636.742,657.765,666.67,667.313,677.537,682.961,691.089,682.618,666.406
4/16/2008,RFC,652.541,650.757,638.726,644.03,654.473,655.821,649.481,641.415,622.62,638.613,639.399,640.144,635.821,634.379,641.734,648.683,645.121,600.938,518.993,637.905,647.54,649.188,696.693,672.97
4/17/2008,RFC,644.146,627.335,637.306,637.043,601.042,563.398,493.457,459.741,391.766,275.643,197.143,120.842,136.479,63.776,179.702,338.486,407.682,449.016,447.522,400.867,395.646,369.893,421.597,527.305
4/18/2008,RFC,529.929,603.369,544.686,471.872,475.147,507.322,502.941,514.47,507.577,518.233,546.745,533.096,524.296,529.461,590.027,542.656,518.317,492.986,454.349,283.261,225.527,346.999,174.438,199.909
4/19/2008,RFC,179.961,201.068,156.321,127.235,135.823,162.411,181.74,160.269,116.682,80.61,78.256,92.68,113.114,115.792,149.997,173.564,146.826,160.11,178.541,167.951,212.95,284.906,226.863,221.548
4/20/2008,RFC,230.482,268.537,273.178,257.13,289.13,276.383,227.828,173.726,120.417,151.815,133.203,160.434,168.031,127.784,153.06,196.811,136.807,113.486,123.48,130.406,153.84,179.466,202.143,251.535
4/21/2008,RFC,321.676,357.764,372.656,324.912,344.023,355.646,365.588,331.485,282.249,250.726,271.519,335.17,353.423,404.387,414.611,411.651,375.469,392.848,416.833,403.989,361.714,398.037,448.124,480.69
4/22/2008,RFC,524.489,575.817,568.89,610.116,628.164,603.972,657.306,626.243,558.928,445.761,357.029,239.331,261.803,103.929,130.559,137.053,91.643,142.533,131.352,102.487,63.584,72.251,95.565,145.526
4/23/2008,RFC,213.164,263.088,347.806,366.358,392.442,395.244,402.485,412.276,411.272,465.966,440.761,355.178,234.777,177.706,145.741,160.844,184.821,198.412,245.014,234.385,228.192,297.942,388.55,450.083
4/24/2008,RFC,586.894,596.204,606.437,674.869,691.463,684.144,689.02,693.218,650.924,604.205,596.653,637.296,625.269,562.156,476.036,323.061,330.738,377.423,498.916,616.034,636.354,599.107,552.288,534.437
4/25/2008,RFC,522.284,634.372,695.549,690.585,658.318,552.369,618.863,689.944,658.941,676.584,667.647,645.108,641.473,652.459,654.1,664.041,661.969,645.795,650.302,599.444,656.326,608.746,665.96,726.414
4/26/2008,RFC,712.494,709.973,693.427,707.254,702.786,688.26,664.62,577.998,654.016,678.5,655.928,682.315,674.128,704.225,726.353,763.476,802.202,780.872,679.003,548.88,428.313,383.95,369.32,444.197
4/27/2008,RFC,425.074,330.573,393.999,400.665,267.272,181.451,132.745,82.998,56.302,38.066,76.259,69.563,67.155,58.457,58.419,38.536,68.166,91.739,142.332,184.919,209.792,263.857,262.253,257.496
4/28/2008,RFC,240.407,290.695,309.436,282.913,314.548,343.525,436.906,534.897,521.183,479.729,384.903,274.223,270.215,382.281,415.286,555.777,632.97,625.543,606.075,562.805,588.056,562.794,491.774,525.964
4/29/2008,RFC,498.186,448.703,397.068,343.936,304.032,304.059,328.043,318.513,270.439,235.16,205.876,210.905,215.783,222.309,239.964,252.158,254.516,258.387,233.465,184.24,163.485,149.184,144.769,153.682
4/30/2008,RFC,200.771,265.765,334.127,374.43,397.897,444.703,510.218,542.939,503.313,484.568,496.028,558.699,571.418,582.716,586.974,599.639,621.252,557.779,508.832,472.528,433.993,504.755,565.838,585.632
5/1/2008,RFC,593.149,585.08,585.878,548.801,539.829,555.053,584.228,574.593,500.906,490.134,554.9,525.976,456.154,481.969,509.129,546.868,579.431,633.27,659.936,632.107,655.838,663.222,667.961,597.032
5/2/2008,RFC,595.74,595.722,602.74,616.379,607.686,557.044,661.143,670.701,657.772,697.974,659.781,602.374,261.613,261.162,647.786,690.24,701.847,724.425,683.183,702.487,715.775,671.639,580.498,560.507
5/3/2008,RFC,582.698,626.578,650.542,668.333,670.458,669.401,677.993,695.312,701.141,705.128,704.054,718.556,719.325,738.743,760.027,767.943,745.193,718.186,678.305,601.915,446.017,439.005,477.559,407.359
5/4/2008,RFC,498.682,507.895,537.693,495.01,412.591,288.85,193.931,143.454,107.039,123.204,135.25,169.726,195.622,217.661,215.854,188.232,204.259,253.328,282.188,274.952,242.68,292.014,355.206,403.696
5/5/2008,RFC,488.554,479.319,438.7,419.979,418.39,429.11,410.255,380.468,268.158,169.893,186.451,143.495,173.3,227.878,250.536,263.644,316.132,268.88,212.983,145.633,86.592,49.709,30.92,16.158
