DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,,,
5/20/2009,WEST,997,1001,953,922,884,952,949,876,625,460,618,725,686,645,642,701,749,785,811,734,654,728,877,977,,,
5/21/2009,WEST,1118,1135,1137,1116,1050,947,825,767,534,425,461,596,642,548,448,376,326,299,234,177,152,209,211,275,,,
5/22/2009,WEST,305,304,270,301,322,317,280,197,151,137,122,117,104,85,62,47,27,27,32,166,461,432,431,352,,,
5/23/2009,WEST,250,212,231,189,150,126,101,78,29,9,3,3,7,11,9,60,114,120,202,84,177,112,88,65,,,
5/24/2009,WEST,69,112,115,187,268,294,274,244,223,170,140,123,123,74,71,82,130,350,572,642,703,750,840,861,,,
5/25/2009,WEST,826,729,670,609,635,664,694,736,798,867,827,824,821,879,918,948,1010,1032,933,889,816,722,738,735,,,
5/26/2009,WEST,838,810,826,758,739,671,614,614,493,327,249,202,120,135,224,241,353,336,440,389,274,331,350,386,,,
5/27/2009,WEST,395,403,472,378,348,358,343,306,321,361,402,434,474,505,527,544,485,385,298,199,198,194,202,151,,,
5/28/2009,WEST,142,122,107,121,163,194,187,182,204,198,207,190,162,170,195,200,227,269,319,391,298,222,229,160,,,
5/29/2009,WEST,124,119,174,251,283,360,349,357,174,147,124,172,213,258,335,435,537,651,724,551,573,503,574,445,,,
5/30/2009,WEST,323,234,212,257,289,247,330,448,420,369,352,414,536,556,532,662,750,752,744,873,627,704,743,851,,,
5/31/2009,WEST,823,848,862,687,541,460,364,258,147,117,130,142,174,195,187,198,227,252,297,397,335,521,879,914,,,
6/1/2009,WEST,833,923,1014,916,800,605,600,748,705,602,536,580,626,678,540,504,450,555,588,544,514,470,593,442,,,
6/2/2009,WEST,499,574,413,246,185,190,125,156,148,177,254,276,266,295,373,449,480,537,601,662,406,500,462,648,,,
6/3/2009,WEST,508,362,387,455,501,568,628,648,553,424,386,410,367,424,419,357,309,293,297,262,345,444,504,466,,,
6/4/2009,WEST,408,318,252,248,241,175,166,153,92,56,51,87,85,67,52,40,40,49,52,54,89,175,212,219,,,
6/5/2009,WEST,193,220,203,154,144,117,107,149,113,93,129,144,136,148,165,178,182,190,220,213,147,129,223,374,,,
6/6/2009,WEST,488,468,547,555,583,587,524,444,206,109,125,164,181,198,341,636,810,896,946,941,790,662,643,593,,,
6/7/2009,WEST,570,584,575,553,523,477,462,390,334,224,294,348,241,102,293,627,509,551,454,333,172,227,342,465,,,
6/8/2009,WEST,613,630,643,830,732,566,477,551,545,648,582,806,901,900,860,858,974,951,832,713,477,452,416,427,,,
6/9/2009,WEST,588,556,560,557,482,390,268,278,196,128,93,82,75,78,68,136,159,127,76,72,150,66,141,182,,,
6/10/2009,WEST,344,405,289,321,364,438,413,400,235,133,97,87,57,62,98,112,98,106,90,85,132,295,462,399,,,
6/11/2009,WEST,315,304,358,328,159,98,137,254,126,145,124,126,129,124,168,313,336,516,531,513,569,468,379,450,,,
6/12/2009,WEST,461,437,408,301,256,214,158,123,84,51,28,14,7,20,34,30,29,20,24,26,48,118,189,179,,,
6/13/2009,WEST,157,138,107,93,121,73,138,130,111,144,157,177,145,100,56,40,33,74,115,130,168,184,228,272,,,
6/14/2009,WEST,222,162,111,111,96,70,79,60,46,51,50,51,41,44,54,71,76,71,88,160,240,240,245,275,,,
