Market Day,Central ActualLoad (MWh),Central MTLF (MWh),East ActualLoad (MWh),East MTLF (MWh),MISO ActualLoad (MWh),MISO ISO MTLF (MWh),MISO MTLF (MWh),Midwest ISO ActualLoad (MWh),Midwest ISO MTLF (MWh),North ActualLoad (MWh),North MTLF (MWh),South ActualLoad (MWh),South MTLF (MWh),West ActualLoad (MWh),West MTLF (MWh)
03/01/2011,23262.4825,23241.6666667,29805.2983333,30394.1666667,,,,70385.095,71127.7083333,,,,,17317.3141667,17491.875
03/02/2011,22484.76,22811.7916667,29818.8720833,30191.6666667,,,,70270.5933333,70796.1666667,,,,,17966.96125,17792.7083333
03/03/2011,22582.4766667,22693.6666667,30588.0479167,30635.8333333,,,,70554.5633333,70805.7916667,,,,,17384.03875,17476.2916667
03/04/2011,21308.3458333,21243.8333333,29296.1695833,29235.625,,,,67444.3220833,67221.6666667,,,,,16839.8066667,16742.2083333
03/05/2011,21078.8179167,20207.2083333,26717.3845833,25990.2083333,,,,63708.8783333,61994.375,,,,,15912.6758333,15796.9583333
03/06/2011,21647.1566667,21404.375,26195.11125,26401.4166667,,,,63250.9558333,63379.2916667,,,,,15408.6879167,15573.5
03/07/2011,23100.5683333,22988.3333333,29754.2133333,29935.625,,,,69738.74875,69916.1666667,,,,,16883.9670833,16992.2083333
03/08/2011,22622.44625,22506.5833333,29397.8433333,29608.75,,,,68950.23875,68936.125,,,,,16929.9491667,16820.7916667
03/09/2011,22354.1458333,21989.3333333,29823.5395833,29497.8333333,,,,68932.05,68454.625,,,,,16754.3645833,16967.4583333
03/10/2011,23799.50125,23191.875,29444.8275,29739.7916667,,,,69969.5725,69942.5416667,,,,,16725.24375,17010.875
03/11/2011,22578.0191667,23183.875,29235.16125,29276.5,,,,68226.44375,68968.9583333,,,,,16413.2633333,16508.5833333
03/12/2011,19682.9566667,20161.5,26527.81875,26832.0833333,,,,61992.7675,62471.8333333,,,,,15781.9920833,15478.25
03/13/2011,19996.7095833,20140.8333333,25410.6904167,25850.3333333,,,,60710.72875,61229.6666667,,,,,15303.32875,15238.5
03/14/2011,23245.6716667,22266.5833333,28899.9616667,29356.25,,,,68529.33875,68261.375,,,,,16383.7054167,16638.5416667
03/15/2011,22931.7666667,22488.375,29424.0970833,29180.125,,,,68383.135,67862.6666667,,,,,16027.27125,16194.1666667
